Duration,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
46,10,2,6,1,1,78,2,2,1,29
24,5,2,5,1,1,68,2,2,1,29
29,1,1,4,2,1,40,1,2,2,21
32,8,2,6,1,1,85,1,2,2,29
41,6,2,5,1,1,76,1,2,2,29
42,5,5,5,1,1,69,1,2,1,59
49,5,4,6,1,1,89,1,2,2,49
61,4,6,3,1,1,35,2,1,1,69
19,3,3,5,2,1,14,1,1,2,39
32,5,2,3,1,1,49,1,2,1,29
47,9,2,5,1,1,24,1,1,1,29
29,2,5,5,1,1,41,1,1,2,59
48,11,4,5,1,1,67,1,2,1,49
22,4,4,5,1,1,48,2,1,2,49
19,1,2,4,2,1,7,1,1,2,29
35,5,2,5,1,1,41,2,1,2,29
59,9,3,3,1,1,69,2,2,2,39
25,4,3,6,1,1,43,1,1,2,39
24,1,4,7,2,1,83,2,2,2,49
61,3,4,4,1,1,31,2,1,1,49
12,12,3,5,1,1,38,1,1,2,39
84,5,2,6,1,1,85,1,2,2,29
22,6,4,5,1,1,79,1,2,2,49
35,11,1,5,1,1,35,1,1,2,21
59,3,2,4,2,1,47,2,2,1,29
14,3,3,5,1,1,38,1,1,2,39
16,8,2,7,1,1,34,1,1,1,29
26,8,3,3,1,1,62,1,2,2,39
30,4,1,4,1,1,56,2,2,1,21
31,1,3,3,2,1,45,2,2,2,39
26,5,5,5,1,1,81,1,2,2,59
52,8,2,5,1,1,24,1,1,1,29
14,5,5,5,1,1,39,2,1,1,59
15,12,3,5,1,1,77,1,2,2,39
32,2,3,5,1,1,32,2,1,1,39
40,6,2,5,1,1,41,2,1,2,29
42,7,2,5,1,1,29,2,1,1,29
32,2,2,4,1,1,31,1,1,2,29
49,5,4,7,1,1,87,1,2,1,49
22,4,3,5,1,1,26,1,1,1,39
20,8,3,5,1,1,32,2,1,1,39
40,5,2,5,2,1,56,2,2,1,29
16,1,1,5,2,1,14,2,1,2,21
19,3,4,7,1,1,49,1,1,2,49
32,6,3,7,1,1,54,2,1,2,39
32,4,3,7,1,1,85,1,2,1,39
43,7,2,5,1,1,68,2,2,1,29
29,9,2,5,1,1,41,2,1,2,29
24,2,1,3,1,1,19,2,1,1,21
39,5,2,5,1,1,76,1,2,2,29
118,5,4,6,1,1,89,1,2,2,49
21,3,2,5,1,1,36,1,1,2,29
16,4,3,4,1,1,21,1,1,1,39
17,9,2,6,1,1,78,2,2,1,29
18,1,3,4,1,1,74,2,2,2,39
22,4,2,3,1,1,34,2,1,2,29
23,11,3,6,1,1,94,2,2,2,39
18,2,1,1,2,1,0,2,1,2,21
25,5,2,5,1,1,41,2,1,2,29
22,1,1,5,1,1,78,2,2,2,21
14,2,4,5,1,1,48,2,1,2,49
36,1,3,6,1,1,94,2,2,2,39
26,7,3,5,2,1,60,2,2,1,39
15,7,3,6,1,1,37,2,1,1,39
41,1,1,5,1,1,35,1,1,2,21
25,7,4,5,1,1,67,1,2,1,49
55,3,2,2,1,1,61,2,2,2,29
52,7,2,6,2,1,66,2,2,1,29
22,8,4,6,1,1,89,1,2,2,49
30,5,2,5,1,1,64,1,2,1,29
19,7,5,6,2,1,66,1,2,2,59
14,5,3,3,1,1,30,1,1,2,39
46,5,3,5,2,1,53,1,2,2,39
26,2,2,5,1,1,29,2,1,1,29
20,6,6,6,2,1,35,2,1,2,69
25,7,2,5,2,1,12,1,1,1,29
37,9,4,6,1,1,77,1,2,1,49
19,2,5,5,2,1,57,1,2,1,59
31,4,3,4,1,1,74,2,2,2,39
18,6,2,4,1,1,24,2,1,1,29
39,7,4,6,1,1,97,2,2,2,49
25,3,3,5,1,1,38,1,1,2,39
18,3,3,7,1,1,48,1,1,2,39
95,6,2,5,2,1,52,1,2,2,29
30,5,3,4,1,1,21,1,1,1,39
37,3,3,4,1,1,74,2,2,2,39
35,4,2,6,1,1,90,2,2,2,29
22,6,3,7,1,1,91,2,2,1,39
21,2,3,5,1,1,72,2,2,1,39
17,9,2,5,1,1,24,1,1,1,29
75,4,2,3,1,1,61,1,2,2,29
31,9,3,6,1,1,94,2,2,2,39
24,2,3,5,1,1,32,2,1,1,39
25,6,2,2,1,1,56,1,2,2,29
26,8,2,5,1,1,24,1,1,1,29
23,7,2,5,1,1,29,2,1,1,29
26,6,2,7,1,1,83,1,2,1,29
35,6,3,5,1,1,44,2,1,2,39
26,9,4,5,1,1,39,1,1,2,49
25,1,1,3,2,1,4,1,1,2,21
26,11,3,5,1,1,84,2,2,2,39
15,6,3,5,1,1,65,1,2,1,39
48,3,4,5,1,1,39,1,1,2,49
38,4,2,6,1,1,34,2,1,1,29
46,8,2,6,1,1,29,1,1,1,29
42,7,6,6,1,1,103,2,2,2,69
21,6,2,7,1,1,51,2,1,2,29
19,12,5,4,1,1,24,1,1,1,59
25,7,2,5,1,1,41,2,1,2,29
50,6,4,5,1,1,67,1,2,1,49
32,3,2,5,1,1,29,2,1,1,29
34,5,4,5,1,1,28,1,1,1,49
28,3,2,4,1,1,71,2,2,2,29
69,4,2,6,1,1,90,2,2,2,29
28,7,2,6,1,1,41,1,1,2,29
20,4,3,6,1,1,87,1,2,2,39
43,5,2,7,1,1,100,2,2,2,29
23,9,2,5,1,1,64,1,2,1,29
25,5,2,2,2,1,7,2,1,1,29
33,4,2,3,2,1,5,1,1,2,29
20,6,4,5,1,1,87,2,2,2,49
20,3,2,5,1,1,36,1,1,2,29
23,3,4,5,1,1,36,2,1,1,49
22,4,2,6,1,1,34,2,1,1,29
35,5,2,5,1,1,76,1,2,2,29
20,1,1,5,1,1,23,1,1,1,21
21,1,3,2,2,1,34,1,2,1,39
67,5,5,6,1,1,34,1,1,1,59
22,4,5,5,1,1,39,2,1,1,59
42,3,5,7,1,1,49,2,1,1,59
41,9,6,6,1,1,92,1,2,2,69
26,5,2,6,1,1,29,1,1,1,29
36,4,3,5,1,1,84,2,2,2,39
31,2,5,2,1,1,29,2,1,1,59
29,2,2,2,1,1,26,1,1,2,29
18,7,2,6,1,1,78,2,2,1,29
28,6,4,5,1,1,75,2,2,1,49
29,3,6,5,1,1,43,1,1,2,69
70,8,3,3,1,1,30,1,1,2,39
21,5,2,5,1,1,41,2,1,2,29
53,6,4,6,1,1,77,1,2,1,49
21,3,3,7,1,1,85,1,2,1,39
18,4,2,3,1,1,17,1,1,1,29
26,9,5,5,1,1,81,1,2,2,59
57,2,2,3,2,1,10,2,1,1,29
19,9,4,5,1,1,39,1,1,2,49
23,9,3,5,1,1,44,2,1,2,39
22,3,3,5,1,1,77,1,2,2,39
32,5,2,5,1,1,80,2,2,2,29
40,2,4,5,1,1,36,2,1,1,49
21,6,1,5,2,1,54,2,2,1,21
33,8,5,5,1,1,51,2,1,2,59
44,5,2,2,1,1,44,1,2,1,29
39,6,3,4,1,1,74,2,2,2,39
52,2,3,7,1,1,42,2,1,1,39
31,8,2,5,1,1,80,2,2,2,29
22,6,3,5,1,1,32,2,1,1,39
31,1,3,2,2,1,4,1,1,2,39
59,1,2,5,1,1,24,1,1,1,29
36,12,2,5,1,1,80,2,2,2,29
26,3,3,2,1,1,58,1,2,2,39
35,6,6,5,1,1,43,1,1,2,69
247,4,3,5,1,1,65,1,2,1,39
19,1,2,5,2,1,12,1,1,1,29
65,5,3,5,1,1,38,1,1,2,39
34,4,2,5,1,1,76,1,2,2,29
43,6,2,7,1,1,88,2,2,1,29
47,7,3,6,2,1,19,1,1,2,39
143,8,2,7,1,1,39,2,1,1,29
26,6,3,4,2,1,43,1,2,1,39
