StartDate,EndDate,IPAddress,Progress,Duration (in seconds),LocationLatitude,LocationLongitude,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
9/3/20 18:02,9/3/20 18:02,173.16.56.81,100,23,43.04260254,-91.11930084,4,2,2,1,1,61,2,2,2,29
9/3/20 18:02,9/3/20 18:02,73.242.193.201,100,32,35.13490295,-106.6401978,9,3,4,1,1,27,2,1,1,39
9/3/20 18:01,9/3/20 18:02,68.224.138.77,100,89,36.09069824,-115.0886002,1,5,6,1,1,56,2,1,2,59
9/3/20 18:02,9/3/20 18:03,99.135.183.187,100,46,30.33900452,-97.52339935,10,3,5,1,1,26,1,1,1,39
9/3/20 18:02,9/3/20 18:03,174.55.104.245,100,51,39.93009949,-77.66010284,1,2,2,1,1,26,1,1,2,29
9/3/20 18:02,9/3/20 18:03,38.79.91.248,100,23,32.78889465,-96.80210114,3,6,5,1,1,82,1,2,2,69
9/3/20 18:04,9/3/20 18:04,38.79.91.248,100,14,32.78889465,-96.80210114,4,6,5,1,1,94,2,2,2,69
9/3/20 18:03,9/3/20 18:04,216.108.208.39,100,47,40.44239807,-89.06690216,11,2,5,1,1,24,1,1,1,29
9/3/20 18:04,9/3/20 18:04,8.39.235.85,100,23,42.18890381,-122.6907959,7,5,6,1,1,90,1,2,2,59
9/3/20 18:04,9/3/20 18:04,152.86.251.102,100,25,36.38059998,-86.31069946,8,2,5,1,1,76,1,2,2,29
9/3/20 18:05,9/3/20 18:05,38.79.91.228,100,18,32.78889465,-96.80210114,4,6,5,1,1,70,1,2,1,69
9/3/20 18:05,9/3/20 18:05,38.79.91.131,100,16,32.78889465,-96.80210114,3,6,5,1,1,31,1,1,1,69
9/3/20 18:05,9/3/20 18:06,24.14.87.197,100,32,41.78919983,-88.26200104,4,3,5,1,1,32,2,1,1,39
9/3/20 18:08,9/3/20 18:09,38.68.53.16,100,45,37.75100708,-97.8219986,3,2,6,1,1,85,1,2,2,29
9/3/20 18:08,9/3/20 18:09,47.144.27.60,100,25,34.21929932,-118.9841995,9,5,5,1,1,90,2,2,2,59
9/3/20 18:08,9/3/20 18:09,68.82.216.228,100,13,39.94859314,-75.23390198,7,5,5,1,1,90,2,2,2,59
9/3/20 18:08,9/3/20 18:09,69.173.194.22,100,47,36.05569458,-90.51999664,1,2,2,2,1,32,1,2,1,29
9/3/20 18:09,9/3/20 18:10,136.33.246.146,100,14,38.89390564,-94.70670319,3,2,5,2,1,52,1,2,1,29
9/3/20 18:09,9/3/20 18:10,142.196.69.114,100,28,29.00390625,-82.18869781,6,3,7,1,1,48,1,1,2,39
9/3/20 18:09,9/3/20 18:10,172.98.130.101,100,27,42.97779846,-87.89099884,5,2,5,1,1,76,1,2,2,29
9/3/20 18:10,9/3/20 18:11,65.175.188.86,100,36,43.14190674,-71.25060272,2,3,5,1,1,77,1,2,2,39
9/3/20 18:10,9/3/20 18:11,172.58.21.64,100,36,33.98890686,-118.1529999,6,2,3,1,1,61,1,2,2,29
9/3/20 18:10,9/3/20 18:11,70.174.2.23,100,35,36.85580444,-76.0042038,5,2,3,1,1,66,2,2,2,29
9/3/20 18:12,9/3/20 18:12,73.21.79.42,100,27,31.89619446,-81.29399872,8,3,7,1,1,97,1,2,2,39
9/3/20 18:12,9/3/20 18:13,198.228.140.22,100,29,34.17120361,-118.5186005,6,2,5,1,1,76,1,2,2,29
9/3/20 18:11,9/3/20 18:13,104.160.53.200,100,86,32.29400635,-81.62799835,1,1,4,2,1,40,1,2,1,21
9/3/20 18:13,9/3/20 18:14,172.124.251.243,100,32,37.12289429,-93.47579956,3,3,3,1,1,37,2,1,2,39
9/3/20 18:14,9/3/20 18:14,64.137.65.207,100,43,37.75100708,-97.8219986,6,2,6,1,1,78,2,2,1,29
9/3/20 18:14,9/3/20 18:15,71.217.78.6,100,30,35.7696991,-79.17700195,5,4,4,1,1,43,2,1,2,49
9/3/20 18:14,9/3/20 18:15,71.217.83.86,100,38,35.05969238,-79.00579834,4,1,5,1,1,38,2,1,2,21
9/3/20 18:15,9/3/20 18:16,73.170.113.247,100,31,37.77029419,-122.4407043,4,2,6,2,1,62,1,2,2,29
9/3/20 18:17,9/3/20 18:17,73.115.70.230,100,23,29.55419922,-95.73249817,9,3,5,2,1,53,1,2,1,39
9/3/20 18:16,9/3/20 18:17,67.186.183.118,100,54,41.57739258,-73.02449799,4,2,4,1,1,54,1,2,1,29
9/3/20 18:17,9/3/20 18:18,69.168.125.100,100,45,45.08259583,-123.5046997,11,3,4,1,1,74,2,2,2,39
9/3/20 18:23,9/3/20 18:23,50.35.111.247,100,26,47.80299377,-122.3739014,5,3,5,1,1,77,1,2,2,39
9/3/20 18:24,9/3/20 18:24,96.28.192.95,100,15,38.14050293,-85.69360352,4,2,5,1,1,80,2,2,2,29
9/3/20 18:26,9/3/20 18:27,47.204.209.101,100,28,28.13549805,-82.46050262,11,4,6,1,1,97,2,2,2,49
9/3/20 18:27,9/3/20 18:27,68.173.171.196,100,39,40.73590088,-73.99040222,6,2,6,1,1,41,1,1,2,29
9/3/20 18:27,9/3/20 18:28,174.242.137.87,100,31,41.53819275,-72.80079651,5,2,6,2,1,17,1,1,2,29
9/3/20 18:29,9/3/20 18:30,174.106.180.190,100,25,35.06680298,-76.8710022,6,3,5,1,1,65,1,2,1,39
9/3/20 18:30,9/3/20 18:31,208.88.203.243,100,33,40.1967926,-88.39250183,5,5,7,1,1,49,2,1,1,59
9/3/20 18:30,9/3/20 18:31,69.255.155.130,100,36,38.75920105,-76.9858017,1,1,3,1,1,51,2,2,1,21
9/3/20 18:32,9/3/20 18:32,173.184.48.26,100,28,31.2684021,-95.92150116,6,1,4,1,1,68,2,2,2,21
9/3/20 18:32,9/3/20 18:32,98.197.107.43,100,46,29.78050232,-95.51290131,5,4,5,1,1,67,1,2,1,49
9/3/20 18:32,9/3/20 18:32,198.228.139.211,100,21,34.17120361,-118.5186005,10,1,5,1,1,62,1,2,1,21
9/3/20 18:34,9/3/20 18:35,174.225.19.192,100,52,40.729599,-74.39009857,7,2,4,1,1,71,2,2,2,29
9/3/20 18:35,9/3/20 18:35,107.15.148.130,100,28,35.89639282,-78.71150208,6,2,5,1,1,76,1,2,2,29
9/3/20 18:37,9/3/20 18:38,172.111.136.9,100,48,34.05439758,-118.2440033,8,2,6,1,1,29,1,1,1,29
9/3/20 18:38,9/3/20 18:39,38.68.47.79,100,37,37.75100708,-97.8219986,5,2,5,1,1,41,2,1,2,29
