Q1,Q2,Q3,Q4,SC0,Random ID
3,2,5,1,1,675221
1,3,6,2,1,130489
7,4,5,1,1,283147
9,2,5,1,1,711917
1,1,5,1,1,258873
3,4,5,1,1,695218
4,4,5,1,1,533424
1,3,5,1,1,867856
6,3,5,1,1,647140
6,4,6,1,1,595692
3,2,5,1,1,805413
10,1,5,1,1,251230
2,4,5,2,1,338749
5,2,5,1,1,420643
6,4,5,1,1,795426
6,3,5,1,1,113923
5,3,7,1,1,724295
7,2,5,1,1,691677
1,1,4,1,1,587238
4,2,5,1,1,108143
5,5,5,1,1,529395
8,2,6,1,1,221031
7,3,5,1,1,588489
5,2,4,1,1,982555
6,2,5,1,1,561868
